Name of School,State,Feb,March,April,qtr
PCVC . Darshi Pedda mastan Nagar,Andhra Pradesh,2,1,0,1
Madarsa Imdad ul Islam,Andhra Pradesh,1,1,0,1
Madarsa Darul uloom Ahle Sunnat Anwaar ul Harmain - Boys,Andhra Pradesh,0,0,3,1
Madarsa Limra Educational and Welfare Society,Andhra Pradesh,3,0,0,1
Madarsa-e-Aagaz ,Andhra Pradesh,2,2,0,1
Madarsa Nahere Ilahia School,Andhra Pradesh,23,6,1,10
Madarsa Mohammadia Noor-Ul-Uloom School,Andhra Pradesh,54,39,0,31
Madarsa Anwar-E-Hashmiya School,Andhra Pradesh,6,3,0,3
Madarsa Tajweed-ul-Quran School,Andhra Pradesh,5,0,1,2
Madarsa Jamia Darul falah,Andhra Pradesh,9,18,0,9
Madarsa Shah-e-Jeelan School,Andhra Pradesh,7,4,0,4
Madarsa Noor -e-Hidayat Islamic,Andhra Pradesh,16,0,0,5
Madarsa Arabia Khadijatul Kubra School,Andhra Pradesh,9,14,0,8
Madarsa Darul-uloom Mohammadia,Andhra Pradesh,9,6,1,5
Pratham Urban Learning Center,Andhra Pradesh,19,1,3,8
Pratham Open School ,Andhra Pradesh,34,7,4,15
Pratham Open School ,Andhra Pradesh,16,7,4,9
Pratham Open School ,Andhra Pradesh,21,7,4,11
Pratham Open School ,Andhra Pradesh,25,7,4,12
Pratham Urban Learning Center,Andhra Pradesh,32,1,3,12
Pratham Urban Learning Center,Andhra Pradesh,23,1,3,9
Pratham Urban Learning Center,Andhra Pradesh,19,1,3,8
G. H. S. Huzrurabad,Andhra Pradesh,2,1,0,1
G. H. S. Karkhanagadda,Andhra Pradesh,20,9,0,10
G. H. S. Vemulawada,Andhra Pradesh,9,5,0,5
Sprouts English Medium School,Andhra Pradesh,36,10,0,15
Z. P. H. S. Annaram,Andhra Pradesh,6,5,0,4
Z. P. H. S. Arnakonda,Andhra Pradesh,8,8,0,5
Z. P. H. S. (B) Metpalli,Andhra Pradesh,14,1,0,5
Z. P. H. S. Chilvakodur,Andhra Pradesh,8,15,0,8
Z. P. H. S. Eligaid,Andhra Pradesh,23,21,0,15
Z. P. H. S. Ellanthakunta,Andhra Pradesh,0,17,0,6
Z. P. H. S. Gangadhara ,Andhra Pradesh,33,26,0,20
Z. P. H. S. Garrepelli,Andhra Pradesh,6,7,0,4
Z. P. H. S. Garshakurthi,Andhra Pradesh,3,0,0,1
Z. P. H. S. (G) Dharmapuri,Andhra Pradesh,20,19,0,13
Z. P. H. S. Ghanmukla,Andhra Pradesh,8,42,18,23
Z. P. H. S. (G) Julapally,Andhra Pradesh,8,8,0,5
Z. P. H. S. (G) Korutla,Andhra Pradesh,5,9,1,5
Z. P. H. S. (G) Manthini,Andhra Pradesh,23,14,0,12
Z. P. H. S. Gopalraopet,Andhra Pradesh,2,1,0,1
Z. P. H. S. (G) Sirisilla,Andhra Pradesh,12,5,0,6
Z. P. H. S. Husnabad ,Andhra Pradesh,14,14,2,10
Z. P. H. S. Indurthy,Andhra Pradesh,20,10,0,10
Z. P. H. S. Jammikunta Station,Andhra Pradesh,0,0,0,0
Z. P. H. S. Keshavapatnam,Andhra Pradesh,2,2,0,1
Z. P. H. S. Koheda,Andhra Pradesh,9,1,0,3
Z. P. H. S. Konaraopet,Andhra Pradesh,0,0,0,0
Z. P. H. S. Kondapalkala,Andhra Pradesh,6,0,0,2
Z. P. H. S. Kothapally,Andhra Pradesh,16,6,0,7
Z. P. H. S. Medipally,Andhra Pradesh,10,8,0,6
Z. P. H. S. Nagunur,Andhra Pradesh,8,10,0,6
Z. P. H. S. Namapur,Andhra Pradesh,16,4,0,7
Z. P. H. S. Nandi Madaram,Andhra Pradesh,3,5,0,3
Z. P. H. S. Narsinghapoor,Andhra Pradesh,0,11,0,4
